Country Code,Year,BEEF,PIG,POULTRY,SHEEP,Grand Total
ARG,1990,55.36999072,3.661262815,9.082919693,,68.11417323
ARG,1991,51.63797768,3.599019941,10.41983592,2.33881632,67.99564986
ARG,1992,50.78917939,4.469863438,15.32508443,1.886415645,72.47054291
ARG,1993,51.46467207,4.830725722,18.41991208,1.860565881,76.57587575
ARG,1994,48.37523251,4.814912064,18.50227128,2.362608184,74.05502404
ARG,1995,43.48519829,5.06172371,20.19821106,2.222376976,70.96751004
ARG,1996,44.00235033,4.864583345,19.13274266,1.778622434,69.77829877
ARG,1997,44.63931357,4.723451619,19.92997872,1.617024538,70.90976845
ARG,1998,41.42853258,5.44770981,23.18452576,1.41446826,71.47523641
ARG,1999,45.53407924,6.117993605,23.04157588,1.329264592,76.02291332
ARG,2000,45.05369243,5.958885518,22.15319926,1.405007574,74.57078478
ARG,2001,43.75813164,4.757596933,15.51046249,1.387649645,65.4138407
ARG,2002,40.28253863,4.420167908,16.20544464,1.355902715,62.26405389
ARG,2003,41.6215467,3.928497062,18.97829718,1.301618494,65.82995944
ARG,2004,43.50156953,4.228506771,21.23616603,1.251013872,70.2172562
ARG,2005,42.64426141,4.794214997,24.31881387,1.17755786,72.93484814
ARG,2006,43.78960127,5.889817044,25.32238775,1.140432395,76.14223846
ARG,2007,47.07611365,6.001467654,27.61779731,1.170444672,81.86582329
ARG,2008,46.91663151,5.888284492,29.17852581,1.092868921,83.07631073
ARG,2009,46.7028275,6.365489968,30.162789,1.038564005,84.26967048
ARG,2010,39.44868474,6.275004837,33.74419979,1.027963258,80.49585262
ARG,2011,37.86224431,6.528702876,34.81059937,1.080659088,80.28220565
ARG,2012,40.22542902,6.581649263,33.00959748,1.173898493,80.99057425
ARG,2013,43.22795756,7.815750247,32.43826562,1.182358375,84.6643318
ARG,2014,40.35430784,7.962458468,33.1936799,1.170208698,82.6806549
ARG,2015,40.76955083,8.504907711,37.85580014,1.198974907,88.32923359
ARG,2016,38.58620457,8.794898536,37.50930506,1.207275443,86.0976836
ARG,2017,41.244275,8.809039067,37.50802565,1.194949059,88.75628878
ARG,2018,40.85387359,8.831720098,37.49890377,1.195153366,88.37965082
ARG,2019,40.10617267,8.918540685,37.53998306,1.199753346,87.76444976
ARG,2020,39.74390916,8.975527448,37.74668351,1.20039937,87.66651949
ARG,2021,39.4386306,9.005719486,37.9241214,1.198178865,87.56665035
ARG,2022,38.44284667,9.037023969,38.08794213,1.196341868,86.76415464
ARG,2023,38.01696041,9.091223847,38.04729941,1.196297144,86.35178082
ARG,2024,37.57422929,9.142391253,38.0110919,1.197475771,85.92518822
ARG,2025,37.67160151,9.174332472,37.97910168,1.197880043,86.02291571
ARG,2026,37.69067792,9.217468736,37.95122925,1.196270727,86.05564663
AUS,1990,,,21.76757838,18.86177628,40.62935465
AUS,1991,27.72181548,14.39647626,22.05673617,19.26238548,83.43741338
AUS,1992,26.19959097,15.12924672,22.07211807,17.82159386,81.22254962
AUS,1993,26.1690941,14.87067653,23.25137718,17.35675736,81.64790517
AUS,1994,25.45613441,15.59669061,23.99330583,18.36657075,83.41270159
AUS,1995,25.34022628,15.50471713,23.57849787,15.00545522,79.42889651
AUS,1996,27.25910403,14.45952018,24.02355821,14.69112654,80.43330896
AUS,1997,28.80291318,14.715333,25.24692111,14.96019576,83.72536305
AUS,1998,26.59047661,15.16593208,27.17069992,15.37533937,84.30244798
AUS,1999,27.91828298,15.06947353,27.45078135,15.15436115,85.592899
AUS,2000,26.35462433,15.20645363,29.19249231,16.26876886,87.02233913
AUS,2001,24.46036157,15.20759062,28.77354597,14.88896355,83.33046171
AUS,2002,25.11618553,15.96301173,31.94918767,13.69932962,86.72771456
AUS,2003,25.81171138,17.41455784,30.86740123,12.08448041,86.17815086
AUS,2004,28.56664444,17.70259893,32.31550356,11.92095205,90.50569898
AUS,2005,27.06126788,18.6201897,33.58058326,11.93546913,91.19750997
AUS,2006,26.92516712,17.95899956,35.05006452,12.32227898,92.25651019
AUS,2007,24.09761552,19.68006992,34.670484,12.55087352,90.99904297
AUS,2008,23.30106253,19.2820737,33.20141749,10.97233226,86.75688599
AUS,2009,23.43242333,19.86932277,33.5478125,10.32414401,87.17370261
AUS,2010,25.30048579,20.15720138,37.63066646,8.969861448,92.05821508
AUS,2011,23.28277027,19.62017287,39.4917753,8.044461783,90.43918022
AUS,2012,22.42724269,20.52933381,40.30562166,8.720105015,91.98230317
AUS,2013,23.7283312,19.98708042,40.13447575,8.716901165,92.56678854
AUS,2014,22.56230877,19.9871332,40.8019175,8.107499586,91.45885904
AUS,2015,19.69921565,21.73693448,41.23261363,9.331542874,92.00030664
AUS,2016,22.05102618,20.49553047,43.5873593,8.550365388,94.68428134
AUS,2017,20.93936854,20.66639814,44.46783575,8.537929538,94.61153196
AUS,2018,20.48332546,20.64830874,45.14589246,8.721526945,94.99905361
AUS,2019,20.19777844,20.67253334,45.53294152,8.703678917,95.10693222
AUS,2020,20.22746576,20.72378898,45.74685174,8.670559816,95.3686663
AUS,2021,20.13033565,20.77310466,45.81702452,8.643369283,95.36383411
AUS,2022,19.95139468,20.79514695,45.97498527,8.606748727,95.32827562
AUS,2023,19.82683288,20.84582526,46.07375154,8.575068295,95.32147797
AUS,2024,19.66928386,20.88185661,46.20816957,8.547056488,95.30636653
AUS,2025,19.54064458,20.93324486,46.30641882,8.525495271,95.30580353
AUS,2026,19.40126662,20.99515033,46.33791562,8.579965349,95.31429792
BGD,1990,0.951094674,6.62E-07,0.664256598,0.62274056,2.238092495
BGD,1991,0.922498343,6.47E-07,0.67311967,0.656899919,2.252518579
BGD,1992,0.91451773,6.33E-07,0.689807659,0.689807659,2.294133681
BGD,1993,0.907068656,6.19E-07,0.729180945,0.729180945,2.365431166
BGD,1994,0.905846254,6.06E-07,0.744001723,0.759185432,2.409034015
BGD,1995,0.89252715,5.93E-07,0.76536103,0.795083788,2.45297256
BGD,1996,0.902575415,5.80E-07,0.858273178,0.86554668,2.626395853
BGD,1997,0.957320267,5.68E-07,0.883032862,0.897275327,2.737629024
BGD,1998,0.909886519,5.56E-07,0.767221386,0.913690923,2.590799384
BGD,1999,0.946046825,5.45E-07,0.765536741,0.888569432,2.600153544
BGD,2000,0.938446873,5.35E-07,0.750757499,0.884821338,2.574026245
BGD,2001,0.931407309,5.25E-07,0.736753646,0.874894955,2.543056435
BGD,2002,0.935193718,5.15E-07,0.742869735,0.904363156,2.582427124
BGD,2003,0.929291789,5.06E-07,0.863491004,0.952379784,2.745163085
BGD,2004,0.924428404,4.98E-07,0.887224066,1.024681315,2.836334284
BGD,2005,0.920730556,4.91E-07,0.92968599,1.058980068,2.909397106
BGD,2006,0.9134265,4.85E-07,1.087550584,1.008566463,3.009544031
BGD,2007,0.912050935,4.79E-07,1.134572263,1.032520789,3.079144466
BGD,2008,0.911283299,4.74E-07,1.12780583,1.062511808,3.101601411
BGD,2009,0.905901998,4.68E-07,1.162329633,1.097755765,3.165987864
BGD,2010,0.904913031,4.63E-07,1.178233702,1.131800847,3.214948043
BGD,2011,0.917176367,4.58E-07,1.193176703,1.164494571,3.274848098
BGD,2012,0.897219772,4.52E-07,1.229957556,1.156273463,3.283451243
BGD,2013,0.890826706,4.47E-07,1.231886073,1.164692287,3.287405512
BGD,2014,0.884474493,4.41E-07,1.222548681,1.161697842,3.268721457
BGD,2015,0.886980542,4.36E-07,1.224380983,1.164255131,3.275617092
BGD,2016,0.876552981,4.31E-07,1.220790314,1.166773044,3.26411677
BGD,2017,0.866786886,4.26E-06,1.231930422,1.19148878,3.290210346
BGD,2018,0.844814763,4.21E-06,1.251995657,1.215534976,3.312349606
BGD,2019,0.831791736,4.16E-06,1.275437902,1.239470002,3.346703804
BGD,2020,0.833402144,4.12E-06,1.300245921,1.26333132,3.396983503
BGD,2021,0.842141126,4.07E-06,1.324107123,1.286693849,3.452946173
BGD,2022,0.852043323,4.03E-06,1.353554236,1.309815576,3.515417168
BGD,2023,0.849614869,3.99E-06,1.376889163,1.332938472,3.559446499
BGD,2024,0.843167322,3.96E-06,1.410330482,1.356041797,3.609543557
BGD,2025,0.827302472,3.92E-06,1.440854948,1.379128144,3.647289484
BGD,2026,0.812836167,3.89E-06,1.435108448,1.402003375,3.649951876
BRA,1990,19.27608628,5.393862937,12.03593544,0.66872725,37.37461191
BRA,1991,19.36064993,5.580287515,13.27090568,0.666600418,38.87844354
BRA,1992,18.83398638,5.732820706,14.16628935,0.662496452,39.39559289
BRA,1993,18.97066374,5.856960887,15.20314815,0.676056046,40.70682882
BRA,1994,21.12815629,6.273660383,16.17128582,0.648934241,44.22203673
BRA,1995,23.10161637,6.728883393,19.56093554,0.693573444,50.08500875
BRA,1996,25.41760319,7.29149241,18.54556884,0.540711169,51.79537561
BRA,1997,23.80629402,6.827192553,21.25584852,0.562563515,52.45189861
BRA,1998,23.6656928,7.222774277,22.32358428,0.390671912,53.60272327
BRA,1999,23.33260003,7.541256936,24.59259592,0.390774068,55.85722695
BRA,2000,24.49877008,10.73578877,25.80327002,0.406701778,61.44453065
BRA,2001,23.85854432,10.84490974,27.45214781,0.374265228,62.5298671
BRA,2002,24.65462077,10.30853663,29.27411672,0.348373681,64.58564779
BRA,2003,24.59599781,9.356328913,28.01376243,0.344449835,62.31053899
BRA,2004,24.60173864,8.861881591,28.92340846,0.373847499,62.76087619
BRA,2005,23.7806607,8.632691729,31.28738545,0.375936895,64.07667477
BRA,2006,23.43442111,9.915295581,31.55675861,0.387750192,65.29422549
BRA,2007,25.09265473,9.717210523,33.88987655,0.414305262,69.11404707
